,date,price
0,2014-07-31,1000.0
1,2014-08-01,1018.202717
2,2014-08-02,1008.772389
3,2014-08-03,1004.4165
4,2014-08-04,1004.984138
5,2014-08-05,998.0410565
6,2014-08-06,999.8663178
7,2014-08-07,1006.144005
8,2014-08-08,1012.505635
9,2014-08-09,1006.846193
10,2014-08-10,1006.86504
11,2014-08-11,980.9331217
12,2014-08-12,970.5076943
13,2014-08-13,930.476552
14,2014-08-14,862.7822021
15,2014-08-15,843.5153692
16,2014-08-16,891.0207203
17,2014-08-17,846.5180777
18,2014-08-18,786.4921555
19,2014-08-19,829.4406174
20,2014-08-20,880.5010963
21,2014-08-21,882.2979487
22,2014-08-22,882.5566
23,2014-08-23,849.458735
24,2014-08-24,869.3409207
25,2014-08-25,855.7833932
26,2014-08-26,872.9780858
27,2014-08-27,872.5128548
28,2014-08-28,866.2610835
29,2014-08-29,868.4953818
30,2014-08-30,857.5924318
31,2014-08-31,820.8686879
32,2014-09-01,814.2321201
33,2014-09-02,810.9593584
34,2014-09-03,811.6338818
35,2014-09-04,836.8057173
36,2014-09-05,822.1685513
37,2014-09-06,826.1332828
38,2014-09-07,822.7349399
39,2014-09-08,806.7997987
40,2014-09-09,808.1129548
41,2014-09-10,817.4124013
42,2014-09-11,816.5868348
43,2014-09-12,812.1096433
44,2014-09-13,816.6118471
45,2014-09-14,816.7506834
46,2014-09-15,813.2662258
47,2014-09-16,796.4645479
48,2014-09-17,785.3543419
49,2014-09-18,733.2341797
50,2014-09-19,680.2144719
51,2014-09-20,706.2804849
52,2014-09-21,685.178632
53,2014-09-22,688.7218943
54,2014-09-23,746.7688196
55,2014-09-24,725.9928765
56,2014-09-25,704.7671946
57,2014-09-26,696.8117642
58,2014-09-27,688.1426984
59,2014-09-28,653.2935277
60,2014-09-29,646.2270535
61,2014-09-30,669.9979464
62,2014-10-01,659.2523706
63,2014-10-02,644.0672436
64,2014-10-03,618.411663
65,2014-10-04,570.6569707
66,2014-10-05,565.2824686
67,2014-10-06,571.0504028
68,2014-10-07,576.0868333
69,2014-10-08,611.7703398
70,2014-10-09,620.1448164
71,2014-10-10,618.2748965
72,2014-10-11,621.403416
73,2014-10-12,645.907032
74,2014-10-13,666.830649
75,2014-10-14,685.7847338
76,2014-10-15,674.9876293
77,2014-10-16,653.4982305
78,2014-10-17,654.9047858
79,2014-10-18,669.6544909
80,2014-10-19,665.5177744
81,2014-10-20,653.6734758
82,2014-10-21,659.4481674
83,2014-10-22,654.9217888
84,2014-10-23,615.3886954
85,2014-10-24,612.4063704
86,2014-10-25,598.7981198
87,2014-10-26,603.3437449
88,2014-10-27,601.4677283
89,2014-10-28,606.3572568
90,2014-10-29,575.3415051
91,2014-10-30,592.5155556
92,2014-10-31,580.3093592
93,2014-11-01,557.8958107
94,2014-11-02,558.5353241
95,2014-11-03,559.2707337
96,2014-11-04,565.9783142
97,2014-11-05,582.6367535
98,2014-11-06,599.346403
99,2014-11-07,588.3052524
100,2014-11-08,594.1750505
101,2014-11-09,626.2961562
102,2014-11-10,626.2882295
103,2014-11-11,630.0576452
104,2014-11-12,718.113982
105,2014-11-13,711.3082986
106,2014-11-14,679.0341513
107,2014-11-15,648.8645733
108,2014-11-16,666.4636129
109,2014-11-17,661.9370636
110,2014-11-18,644.9534572
111,2014-11-19,648.8958047
112,2014-11-20,614.6708548
113,2014-11-21,607.4608986
114,2014-11-22,614.5738495
115,2014-11-23,643.7446967
116,2014-11-24,661.414861
117,2014-11-25,661.2065398
118,2014-11-26,649.6113359
119,2014-11-27,664.4236671
120,2014-11-28,682.6896886
121,2014-11-29,676.3530477
122,2014-11-30,668.5640259
123,2014-12-01,678.7496061
124,2014-12-02,684.540087
125,2014-12-03,673.0132822
126,2014-12-04,663.8817424
127,2014-12-05,679.1039947
128,2014-12-06,677.0737623
129,2014-12-07,679.855048
130,2014-12-08,652.3532842
131,2014-12-09,640.4167612
132,2014-12-10,636.9236875
133,2014-12-11,639.1004584
134,2014-12-12,647.1638994
135,2014-12-13,642.3924733
136,2014-12-14,647.4933222
137,2014-12-15,641.554147
138,2014-12-16,627.0666345
139,2014-12-17,626.3928973
140,2014-12-18,620.4296192
141,2014-12-19,617.5576206
142,2014-12-20,633.464061
143,2014-12-21,618.1922403
144,2014-12-22,646.606259
145,2014-12-23,647.3110572
146,2014-12-24,625.4374702
147,2014-12-25,622.0424378
148,2014-12-26,642.5148802
149,2014-12-27,615.8977791
150,2014-12-28,617.5943186
151,2014-12-29,613.2030804
152,2014-12-30,608.6273641
153,2014-12-31,621.4956997
154,2015-01-01,616.1316473
155,2015-01-02,616.933306
156,2015-01-03,562.6183853
157,2015-01-04,506.8353719
158,2015-01-05,533.0313055
159,2015-01-06,554.7199529
160,2015-01-07,572.9841988
161,2015-01-08,553.4618858
162,2015-01-09,561.4904236
163,2015-01-10,531.4034287
164,2015-01-11,517.3586271
165,2015-01-12,518.0986905
166,2015-01-13,428.9708196
167,2015-01-14,342.0667067
168,2015-01-15,414.9526423
169,2015-01-16,406.1341061
170,2015-01-17,391.8564527
171,2015-01-18,408.7084755
172,2015-01-19,419.1765445
173,2015-01-20,412.8831068
174,2015-01-21,437.4817769
175,2015-01-22,451.8116458
176,2015-01-23,452.3410036
177,2015-01-24,477.5647666
178,2015-01-25,486.258422
179,2015-01-26,511.936704
180,2015-01-27,491.302726
181,2015-01-28,488.1012886
182,2015-01-29,442.7601018
183,2015-01-30,435.6643888
184,2015-01-31,417.903539
185,2015-02-01,430.5551111
186,2015-02-02,450.5393327
187,2015-02-03,424.9289777
188,2015-02-04,425.171371
189,2015-02-05,414.8990404
190,2015-02-06,427.4006989
191,2015-02-07,432.5505786
192,2015-02-08,424.7914831
193,2015-02-09,418.3590144
194,2015-02-10,417.8974069
195,2015-02-11,415.5561482
196,2015-02-12,421.4065701
197,2015-02-13,445.697676
198,2015-02-14,485.6408987
199,2015-02-15,437.4368495
200,2015-02-16,442.6830486
201,2015-02-17,454.2855419
202,2015-02-18,440.3476732
203,2015-02-19,449.7628788
204,2015-02-20,454.8702829
205,2015-02-21,454.0992297
206,2015-02-22,439.5756614
207,2015-02-23,444.7292896
208,2015-02-24,446.2598087
209,2015-02-25,444.3681395
210,2015-02-26,441.9755873
211,2015-02-27,471.6624909
212,2015-02-28,469.5931471
213,2015-03-01,473.4413865
214,2015-03-02,493.0892133
215,2015-03-03,504.4912582
216,2015-03-04,489.4490455
217,2015-03-05,498.4193516
218,2015-03-06,491.9397335
219,2015-03-07,496.2105792
220,2015-03-08,493.8288093
221,2015-03-09,519.021858
222,2015-03-10,517.8795216
223,2015-03-11,527.209257
224,2015-03-12,524.7979569
225,2015-03-13,515.6742767
226,2015-03-14,507.0598895
227,2015-03-15,512.2627461
228,2015-03-16,520.7797618
229,2015-03-17,511.1818999
230,2015-03-18,462.5387724
231,2015-03-19,469.691227
232,2015-03-20,471.1443887
233,2015-03-21,468.2508085
234,2015-03-22,481.942197
235,2015-03-23,479.466817
236,2015-03-24,443.300883
237,2015-03-25,442.6246006
238,2015-03-26,443.3302905
239,2015-03-27,443.2128512
240,2015-03-28,451.1114586
241,2015-03-29,434.3003512
242,2015-03-30,441.7096883
243,2015-03-31,435.9645292
244,2015-04-01,437.0940488
245,2015-04-02,447.5413901
246,2015-04-03,452.5780392
247,2015-04-04,452.4210414
248,2015-04-05,462.275882
249,2015-04-06,455.4570504
250,2015-04-07,452.6231327
251,2015-04-08,438.4003866
252,2015-04-09,435.2477173
253,2015-04-10,419.1259337
254,2015-04-11,422.0594037
255,2015-04-12,421.6472976
256,2015-04-13,400.8900332
257,2015-04-14,390.6881186
258,2015-04-15,398.0584298
259,2015-04-16,406.8403082
260,2015-04-17,397.5428806
261,2015-04-18,397.7921309
262,2015-04-19,396.9229963
263,2015-04-20,400.0503434
264,2015-04-21,417.3243734
265,2015-04-22,416.3200125
266,2015-04-23,418.7714062
267,2015-04-24,411.8192434
268,2015-04-25,403.469886
269,2015-04-26,389.8390302
270,2015-04-27,406.4563669
271,2015-04-28,400.9325092
272,2015-04-29,402.2887548
273,2015-04-30,419.7282765
274,2015-05-01,413.8612544
275,2015-05-02,417.8229198
276,2015-05-03,425.2087923
277,2015-05-04,423.6239985
278,2015-05-05,418.2944711
279,2015-05-06,407.9790417
280,2015-05-07,418.2639912
281,2015-05-08,429.5643759
282,2015-05-09,426.0419919
283,2015-05-10,421.9578146
284,2015-05-11,425.7169228
285,2015-05-12,425.2141411
286,2015-05-13,414.2606235
287,2015-05-14,415.4320572
288,2015-05-15,416.2796263
289,2015-05-16,414.768021
290,2015-05-17,413.4259142
291,2015-05-18,405.4536712
292,2015-05-19,408.1021469
293,2015-05-20,412.2083623
294,2015-05-21,414.2958956
295,2015-05-22,424.0628142
296,2015-05-23,421.7362283
297,2015-05-24,425.5902457
298,2015-05-25,419.6492565
299,2015-05-26,419.4687025
300,2015-05-27,419.8101286
301,2015-05-28,424.1202214
302,2015-05-29,427.7956212
303,2015-05-30,418.8472933
304,2015-05-31,412.1759782
305,2015-06-01,399.1722862
306,2015-06-02,404.1700529
307,2015-06-03,404.104152
308,2015-06-04,401.6024913
309,2015-06-05,403.4990589
310,2015-06-06,403.9239004
311,2015-06-07,400.7862357
312,2015-06-08,410.0379202
313,2015-06-09,411.3156762
314,2015-06-10,410.4231949
315,2015-06-11,411.7944691
316,2015-06-12,412.5752424
317,2015-06-13,416.5563191
318,2015-06-14,418.5062619
319,2015-06-15,425.8897857
320,2015-06-16,450.9443433
321,2015-06-17,447.3250689
322,2015-06-18,451.9165876
323,2015-06-19,446.2731759
324,2015-06-20,449.3640837
325,2015-06-21,444.5728139
326,2015-06-22,450.5259591
327,2015-06-23,445.1434389
328,2015-06-24,440.2945765
329,2015-06-25,443.8224784
330,2015-06-26,444.5299633
331,2015-06-27,459.5617627
332,2015-06-28,454.829751
333,2015-06-29,470.3657359
334,2015-06-30,478.1724949
335,2015-07-01,469.1141492
336,2015-07-02,463.9785672
337,2015-07-03,465.3771263
338,2015-07-04,472.5621986
339,2015-07-05,487.2731889
340,2015-07-06,482.6239269
341,2015-07-07,476.5071078
342,2015-07-08,482.7691019
343,2015-07-09,481.5172497
344,2015-07-10,506.4287137
345,2015-07-11,515.9337367
346,2015-07-12,546.4046126
347,2015-07-13,514.2892381
348,2015-07-14,507.9742748
349,2015-07-15,502.6469138
350,2015-07-16,489.0871457
351,2015-07-17,491.3261449
352,2015-07-18,485.5582962
353,2015-07-19,482.7118751
354,2015-07-20,489.1018767
355,2015-07-21,484.5332078
356,2015-07-22,486.2082104
357,2015-07-23,485.2297643
358,2015-07-24,507.010855
359,2015-07-25,507.5611494
360,2015-07-26,513.8088816
361,2015-07-27,516.6987238
362,2015-07-28,518.9445071
363,2015-07-29,510.1439866
364,2015-07-30,507.3052412
365,2015-07-31,501.7725984
366,2015-08-01,495.7627455
367,2015-08-02,497.3199235
368,2015-08-03,497.6852716
369,2015-08-04,501.44214
370,2015-08-05,496.8629824
371,2015-08-06,490.6135543
372,2015-08-07,491.737641
373,2015-08-08,462.0290311
374,2015-08-09,470.4018001
375,2015-08-10,468.5025371
376,2015-08-11,478.3924913
377,2015-08-12,473.8464596
378,2015-08-13,466.4287494
379,2015-08-14,469.6632522
380,2015-08-15,462.3041661
381,2015-08-16,456.9729159
382,2015-08-17,455.5281922
383,2015-08-18,448.3466261
384,2015-08-19,401.8157571
385,2015-08-20,416.8726709
386,2015-08-21,413.0981933
387,2015-08-22,407.2741622
388,2015-08-23,403.4735366
389,2015-08-24,374.2811283
390,2015-08-25,391.8330883
391,2015-08-26,399.7487346
392,2015-08-27,396.1847966
393,2015-08-28,410.0368828
394,2015-08-29,406.016113
395,2015-08-30,406.489982
396,2015-08-31,409.2468347
397,2015-09-01,404.0801321
398,2015-09-02,406.0111067
399,2015-09-03,401.4916505
400,2015-09-04,406.9373223
401,2015-09-05,417.1408353
402,2015-09-06,424.4065228
403,2015-09-07,426.7773323
404,2015-09-08,431.1798068
405,2015-09-09,421.4948679
406,2015-09-10,422.7319318
407,2015-09-11,427.358088
408,2015-09-12,418.106487
409,2015-09-13,411.8217185
410,2015-09-14,407.3413049
411,2015-09-15,408.0081333
412,2015-09-16,404.6783436
413,2015-09-17,411.7062032
414,2015-09-18,411.8034398
415,2015-09-19,409.7681291
416,2015-09-20,409.5525207
417,2015-09-21,401.1398357
418,2015-09-22,406.2989254
419,2015-09-23,404.4344664
420,2015-09-24,410.9542043
421,2015-09-25,412.4019069
422,2015-09-26,411.2135389
423,2015-09-27,408.5947652
424,2015-09-28,418.2355858
425,2015-09-29,412.1306216
426,2015-09-30,409.8841341
427,2015-10-01,411.8561234
428,2015-10-02,412.1737345
429,2015-10-03,413.8609854
430,2015-10-04,412.0459327
431,2015-10-05,413.6125274
432,2015-10-06,424.7360216
433,2015-10-07,419.7207216
434,2015-10-08,419.2348192
435,2015-10-09,421.7809021
436,2015-10-10,422.0201794
437,2015-10-11,425.6503519
438,2015-10-12,422.3755861
439,2015-10-13,428.2504553
440,2015-10-14,433.7159043
441,2015-10-15,436.8193266
442,2015-10-16,448.8605043
443,2015-10-17,460.8584393
444,2015-10-18,446.8851876
445,2015-10-19,449.9101001
446,2015-10-20,457.986627
447,2015-10-21,452.6534467
448,2015-10-22,464.1316154
449,2015-10-23,469.7869993
450,2015-10-24,478.534284
451,2015-10-25,481.7580018
452,2015-10-26,483.8303101
453,2015-10-27,499.6380453
454,2015-10-28,515.1496379
455,2015-10-29,533.1946986
456,2015-10-30,551.9386072
457,2015-10-31,528.3322314
458,2015-11-01,551.0198457
459,2015-11-02,592.196616
460,2015-11-03,668.5540542
461,2015-11-04,675.0404983
462,2015-11-05,646.6480107
463,2015-11-06,623.7264293
464,2015-11-07,647.075462
465,2015-11-08,622.6234591
466,2015-11-09,636.7040588
467,2015-11-10,565.6316323
468,2015-11-11,514.8560289
469,2015-11-12,568.1401207
470,2015-11-13,567.3749774
471,2015-11-14,557.1891441
472,2015-11-15,538.8542226
473,2015-11-16,556.5658453
474,2015-11-17,563.5485127
475,2015-11-18,564.153006
476,2015-11-19,547.7531007
477,2015-11-20,540.3750425
478,2015-11-21,546.7785844
479,2015-11-22,543.8313554
480,2015-11-23,542.9241084
481,2015-11-24,537.9033883
482,2015-11-25,551.2456816
483,2015-11-26,595.7965442
484,2015-11-27,600.02473
485,2015-11-28,595.738034
486,2015-11-29,619.7241967
487,2015-11-30,630.0401881
488,2015-12-01,605.8811755
489,2015-12-02,598.2776932
490,2015-12-03,602.2092502
491,2015-12-04,607.2092496
492,2015-12-05,653.3784125
493,2015-12-06,658.7385633
494,2015-12-07,659.5909838
495,2015-12-08,693.8833818
496,2015-12-09,707.1556047
497,2015-12-10,706.8741747
498,2015-12-11,763.6869969
499,2015-12-12,736.1522245
500,2015-12-13,738.6111411
501,2015-12-14,746.9927231
502,2015-12-15,777.6607506
503,2015-12-16,759.8633995
504,2015-12-17,763.4847856
505,2015-12-18,773.855516
506,2015-12-19,770.5187913
507,2015-12-20,736.8673608
508,2015-12-21,731.5974614
509,2015-12-22,728.5916004
510,2015-12-23,738.6439171
511,2015-12-24,757.6927476
512,2015-12-25,761.1649576
513,2015-12-26,698.2028271
514,2015-12-27,709.9821201
515,2015-12-28,704.7364358
516,2015-12-29,722.8862384
517,2015-12-30,714.7060071
518,2015-12-31,721.3088503
519,2016-01-01,725.8447563
520,2016-01-02,726.3114857
521,2016-01-03,719.7965478
522,2016-01-04,725.0927304
523,2016-01-05,723.2120471
524,2016-01-06,722.3530543
525,2016-01-07,762.0902584
526,2016-01-08,758.9898307
527,2016-01-09,750.7025485
528,2016-01-10,747.7693281
529,2016-01-11,749.6642957
530,2016-01-12,747.4861255
531,2016-01-13,725.1090225
